,s1,s2,s3,s4,s5,s6,omega,tau,ext.I,ext.D,r0.t,r1.t,r2.t
u,0.027,0.033,0.024,0.022,0.019,0.023,0.024,0.013,0.021,0.020,0.027,0.027,0.026
s,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000
