name,f1,shape1,scale1,f2,shape2,scale2
01_FcaCaf_aligned_cds,0.9044576717252858,4.961361060521314,0.014041715491757492,0.09554232827471419,7.94931407462797,0.016004218043133477
02_MusRat_aligned_cds,0.7106986415836863,9.169067809876736,0.006740379960796667,0.2893013584163137,3.6520407675161626,0.019360527759300705
04_Gallus_aligned_cds,0.021935749728401042,0.7637737177165929,0.06101651863655294,0.9780642502715989,5.553636708043067,0.006431076978226455
05_Droso_aligned_cds,0.013005694096197097,0.10239281504199572,0.03733101410761139,0.9869943059038029,4.0677794408227905,0.0037085286617892952
06_Nematode_aligned_cds,0.17513447678326138,4.163056266974642,0.0531179940665939,0.8248655232167387,13.158906084864165,0.018906978310543426
07_yeast_aligned_cds,0.872898686213414,18.87718781816075,0.005834462204274262,0.12710131378658596,1.8680571872177352,0.043849467657446836
08_Arab_aligned_cds,0.9003107849756297,10.188728228938476,0.005013257304779836,0.09968921502437034,2.1976915553975527,0.03478011149829227
09_SarMon_aligned_cds,0.005387729244721225,7.362702923550459,0.00220464838805841,0.9946122707552788,4.90651040180834,0.02159238542617331
10_ants_aligned_cds,0.424648140403316,14.074994762014546,0.01122923507244665,0.575351859596684,7.584814249621391,0.019282601301583144
11_malaria_aligned_cds,0.47922492210773276,18.959542400173987,0.010926398812299098,0.5207750778922673,7.214699614318402,0.017910730177504323
12_fugu_aligned_cds,0.1297516984239646,13.232427780298183,0.01245643051639434,0.8702483015760354,9.57269076724589,0.011075097978861094
13_Phytophthora_aligned_cds,0.8989212313029895,18.49358121825428,0.008116737040299022,0.10107876869701052,2.582163368464655,0.05635244641658971
14_Fusarium_aligned_cds,0.03988690115777144,0.6242926429907544,0.1400672916940766,0.9601130988422286,3.634805587492125,0.01176856915935189
15_Oryza_aligned_cds,0.8168054621050482,2.519145839268961,0.0016167641999440077,0.18319453789495171,0.12273343758976131,0.0617897617105062
16_Solanum_aligned_cds,0.11715921344220215,2.111523528000451,0.03253713101815172,0.8828407865577979,7.078069294770264,0.005279389649995664
ATGC001,0.8966555649150352,11.643874657380284,0.01841792551343502,0.10334443508496487,0.8454889964185489,0.1044969008010741
ATGC013,0.5046376092877566,20.712080102554957,0.015767830291283806,0.4953623907122434,1.9823532383014997,0.08067682726252388
ATGC015,0.9122559701284513,11.90131101931306,0.024062776559098144,0.08774402987154876,2.0027298449089206,0.05906923668139077
ATGC016,0.9865282258949085,11.99192058995699,0.015286712568858388,0.013471774105091523,0.4934164700178969,0.1708690002220183
ATGC021,0.7400032764060858,20.542628885866705,0.011021462749959725,0.25999672359391424,3.0361214454105907,0.05960790654429968
ATGC022,0.5083529235904695,22.89526116727146,0.008809306926376874,0.49164707640953054,5.302375748518599,0.0384143108230793
ATGC028,0.9432701024036763,10.490510532898872,0.01855910759172907,0.05672989759632374,0.2934956010294955,0.1734637358346077
ATGC044,0.1401167922049484,13.67031727103198,0.00840238951888142,0.8598832077950516,12.330155717037625,0.009092035124968837
ATGC045,0.13891678041372946,32.660554169940056,0.005046790721789465,0.8610832195862705,22.94700466090398,0.011238652423381216
ATGC050,0.26162706369282823,9.148121327786354,0.020678955474529373,0.7383729363071717,21.490661811481512,0.009020372542695968
ATGC056,0.9370106021905904,16.60851617719536,0.016766880769198002,0.06298939780940956,3.2933305462096407,0.03534791091441412
ATGC058,0.8114034978880993,13.071806315554456,0.01717292107945198,0.18859650211190068,2.30794901675561,0.0407412157428868
